Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0,0.2682,0.01916,0.0124,-0.0575,0.8286,0.9533
0.25,0.3396,0.01873,0.01188,-0.065,0.82,0.9672
0.5,0.4024,0.01844,0.01153,-0.0716,0.8068,0.9824
0.75,0.4668,0.01797,0.01099,-0.0785,0.794,0.9966
1,0.4986,0.01762,0.01054,-0.0794,0.781,1
1.25,0.5165,0.01751,0.01036,-0.078,0.7653,1
1.5,0.5347,0.01747,0.01027,-0.0765,0.7499,1
1.75,0.5537,0.01746,0.01019,-0.075,0.7351,1
2,0.574,0.01743,0.01007,-0.0735,0.7206,1
2.25,0.5955,0.01736,0.0099,-0.0721,0.7061,1
2.5,0.6171,0.01734,0.00977,-0.0706,0.6914,1
2.75,0.6362,0.01746,0.00985,-0.069,0.6758,1
3,0.656,0.01763,0.00998,-0.0674,0.6615,1
3.25,0.6775,0.01778,0.01006,-0.066,0.648,1
3.5,0.7016,0.01789,0.01006,-0.065,0.6356,1
3.75,0.7215,0.01812,0.01028,-0.0634,0.6213,1
4,0.7416,0.01839,0.01052,-0.0619,0.6073,1
4.25,0.7637,0.01863,0.0107,-0.0606,0.5942,1
4.5,0.7884,0.0188,0.01077,-0.0597,0.5815,1
4.75,0.8084,0.01907,0.01104,-0.0581,0.5668,1
5,0.8285,0.01933,0.01128,-0.0564,0.5517,1
5.25,0.8494,0.01957,0.01148,-0.0549,0.5364,1
5.5,0.871,0.0198,0.01166,-0.0534,0.5212,1
5.75,0.8933,0.02004,0.01183,-0.0521,0.5064,1
6,0.9164,0.02028,0.01198,-0.0509,0.4915,1
6.25,0.9363,0.02057,0.01227,-0.0493,0.4754,1
6.5,0.956,0.02087,0.01257,-0.0476,0.459,1
6.75,0.9758,0.02118,0.01286,-0.046,0.4422,1
7,0.9954,0.02149,0.01314,-0.0443,0.4248,1
7.25,1.0144,0.0218,0.01341,-0.0426,0.4069,1
7.5,1.0328,0.02213,0.0137,-0.0407,0.3885,1
7.75,1.0504,0.0225,0.01399,-0.0388,0.3697,1
8,1.0672,0.02292,0.01433,-0.0369,0.3507,1
8.25,1.0813,0.0234,0.01482,-0.0345,0.3306,1
8.5,1.0947,0.02393,0.01534,-0.0321,0.3104,1
8.75,1.1072,0.02452,0.01588,-0.0296,0.2903,1
9,1.1188,0.02518,0.01647,-0.0271,0.2708,1
9.25,1.1294,0.02595,0.01713,-0.0245,0.2521,1
9.5,1.1398,0.02687,0.01791,-0.022,0.2343,1
9.75,1.1492,0.02792,0.01884,-0.0194,0.2172,1
10,1.1582,0.02903,0.01984,-0.0169,0.2017,1
10.25,1.1647,0.03013,0.02096,-0.014,0.1878,1
10.5,1.1724,0.03135,0.02217,-0.0114,0.1751,1
10.75,1.1818,0.03266,0.02348,-0.0092,0.1639,1
11,1.1941,0.034,0.0247,-0.0075,0.1542,1
11.25,1.2036,0.0353,0.02603,-0.0055,0.1455,1
11.5,1.2165,0.03683,0.02757,-0.0041,0.138,1
11.75,1.2312,0.03821,0.02892,-0.0028,0.1314,1
12,1.2482,0.03993,0.03067,-0.0019,0.1258,1
12.25,1.2586,0.04151,0.03239,-0.0003,0.1209,1
12.5,1.2904,0.04323,0.03387,-0.0012,0.1155,1
12.75,1.2915,0.0451,0.03605,0.0013,0.1128,1
13,1.2975,0.04709,0.03826,0.0031,0.1099,1
13.25,1.3079,0.04895,0.04022,0.0043,0.1071,1
13.5,1.3426,0.05114,0.04221,0.0032,0.1033,1
13.75,1.3316,0.05351,0.04495,0.0061,0.1021,1
14,1.3212,0.05625,0.048,0.0085,0.1008,1
14.25,1.3106,0.0593,0.05133,0.0104,0.0996,1
14.5,1.2988,0.06268,0.05497,0.0118,0.0985,1
14.75,1.2847,0.06642,0.05896,0.0128,0.0977,1
15,1.2674,0.07063,0.06341,0.0132,0.0969,1
15.25,1.2433,0.07571,0.06876,0.013,0.0965,1
15.5,1.1975,0.08354,0.07694,0.0111,0.097,1
15.75,1.1065,0.09902,0.09289,0.0036,0.0994,1
16,0.9747,0.12816,0.12233,-0.0133,0.1032,1
